,Geneid,TPM,Log
25892,LOC_Os05g35950,0.297924878,0.113249557
25893,LOC_Os05g35960,6.14480578,0.853990428
25894,LOC_Os05g35970,5.581730263,0.81834008
25895,LOC_Os05g35980,41.5093272,1.628484231
25896,LOC_Os05g36000,55.19568641,1.74970298
25897,LOC_Os05g36010,41.4729768,1.6281127
25898,LOC_Os05g36020,4.000590104,0.699021257
25899,LOC_Os05g36030,0.863264198,0.270274439
25900,LOC_Os05g36040,1.431728123,0.385915017
25901,LOC_Os05g36050,88.08401348,1.949799775
25902,LOC_Os05g36060,4.334704933,0.727110403
25903,LOC_Os05g36070,138.6807816,2.145136657
25904,LOC_Os05g36080,1.13212197,0.328812045
25905,LOC_Os05g36090,90.11502056,1.959589978
25906,LOC_Os05g36100,13.00226579,1.146198317
25907,LOC_Os05g36110,67.23977163,1.834037565
25908,LOC_Os05g36120,202.3174347,2.308174621
25909,LOC_Os05g36130,0.244744352,0.095080164
25910,LOC_Os05g36140,45.10248084,1.663724296
25911,LOC_Os05g36150,37.06704345,1.580549148
25912,LOC_Os05g36160,38.37350571,1.595204085
25913,LOC_Os05g36170,0.047331035,0.020083973
25914,LOC_Os05g36180,0.03626714,0.015471727
25915,LOC_Os05g36184,152.0858377,2.184935015
25916,LOC_Os05g36186,100.9714791,2.008478719
25917,LOC_Os05g36190,102.2794345,2.014013851
25918,LOC_Os05g36200,0.05404588,0.022859515
25919,LOC_Os05g36210,0.965889475,0.293559098
25920,LOC_Os05g36220,0.781910527,0.250885894
25921,LOC_Os05g36230,5.362576654,0.803633028
25922,LOC_Os05g36240,1.552101772,0.406897989
25923,LOC_Os05g36250,0.528132549,0.184161026
25924,LOC_Os05g36260,260.244963,2.417047926
25925,LOC_Os05g36270,113.3734151,2.058325089
25926,LOC_Os05g36280,508.893901,2.707479817
25927,LOC_Os05g36290,316.2818981,2.501445295
25928,LOC_Os05g36300,0.179005411,0.071515798
25929,LOC_Os05g36310,22.93977579,1.379120079
25930,LOC_Os05g36320,280.4101573,2.449339769
25931,LOC_Os05g36330,18.7814698,1.296258557
25932,LOC_Os05g36340,33.53138779,1.538214033
25933,LOC_Os05g36350,4.347599463,0.728158871
25934,LOC_Os05g36360,136.6528477,2.1387852
25935,LOC_Os05g36370,0.574224325,0.197066619
25936,LOC_Os05g36380,3.37940518,0.641415128
25937,LOC_Os05g36390,0,0
25938,LOC_Os05g36400,0.013935962,0.006010527
25939,LOC_Os05g36900,24.13521299,1.40028257
25940,LOC_Os05g36910,236.3065736,2.375309769
25941,LOC_Os05g36920,40.51204745,1.618174154
25942,LOC_Os05g36930,10.24699524,1.051036511
25943,LOC_Os05g36940,0.021495619,0.009236508
25944,LOC_Os05g36950,0,0
25945,LOC_Os05g36960,49.79789114,1.705845683
25946,LOC_Os05g36970,14.14887873,1.180380489
25947,LOC_Os05g36980,1.260354854,0.354176625
25948,LOC_Os05g36990,53.86567097,1.739300695
25949,LOC_Os05g36994,353.8358118,2.550027445
25950,LOC_Os05g37000,9.36767244,1.015681267
25951,LOC_Os05g37010,0,0
25952,LOC_Os05g37020,0.077990736,0.032615028
25953,LOC_Os05g37030,18.80193078,1.296707538
25954,LOC_Os05g37040,0.364329378,0.134919231
25955,LOC_Os05g37050,21.76134031,1.357197832
25956,LOC_Os05g37060,82.92797519,1.923906746
25957,LOC_Os05g37070,0.075452052,0.031591052
25958,LOC_Os05g37080,66.88805341,1.831793356
25959,LOC_Os05g37090,0.094555221,0.039237677
25960,LOC_Os05g37100,0.028436507,0.012177484
25961,LOC_Os05g37110,3.849103636,0.685661466
25962,LOC_Os05g37120,79.05395687,1.903382803
25963,LOC_Os05g37130,71.99873942,1.863315361
25964,LOC_Os05g37140,132.0709161,2.124083147
25965,LOC_Os05g37150,30.32709253,1.49592009
25966,LOC_Os05g37160,56.24940925,1.75777101
25967,LOC_Os05g37170,52.12159409,1.725271099
25968,LOC_Os05g37180,0,0
25969,LOC_Os05g37190,55.94848613,1.755482184
25970,LOC_Os05g37200,44.98182687,1.662586222
25971,LOC_Os05g37210,7.060955516,0.906386525
25972,LOC_Os05g37225,7.11555399,0.909318171
25973,LOC_Os05g37230,0,0
25974,LOC_Os05g37250,66.73608758,1.830820108
25975,LOC_Os05g37260,18.08628908,1.280721497
25976,LOC_Os05g37270,0.008791724,0.003801511
25977,LOC_Os05g37280,0,0
25978,LOC_Os05g37290,0,0
25979,LOC_Os05g37300,0.015095267,0.006506803
25980,LOC_Os05g37310,0,0
25981,LOC_Os05g37320,0,0
25982,LOC_Os05g37330,488.6406157,2.689877435
25983,LOC_Os05g37340,36.49261788,1.573945766
25984,LOC_Os05g37350,57.41792826,1.766546151
25985,LOC_Os05g37360,0,0
25986,LOC_Os05g37370,0,0
25987,LOC_Os05g37380,0,0
25988,LOC_Os05g37390,73.07350933,1.86966292
25989,LOC_Os05g37400,44.05267324,1.653720565
25990,LOC_Os05g37410,70.46712725,1.854106325
25991,LOC_Os05g37420,0.285440127,0.109051853
25992,LOC_Os05g37434,45.61478259,1.668523663
25993,LOC_Os05g37450,51.22988722,1.717919088
25994,LOC_Os05g37460,33.323975,1.535597577
25995,LOC_Os05g37470,333.0217209,2.523774709
25996,LOC_Os05g37480,0.850576055,0.267306938
25997,LOC_Os05g37490,3.058138952,0.608326913
25998,LOC_Os05g37500,55.99774816,1.755857698
25999,LOC_Os05g37510,0,0
26000,LOC_Os05g37520,169.5726731,2.231909456
26001,LOC_Os05g37530,24.14121274,1.400386223
26002,LOC_Os05g37540,0.019457961,0.008369322
26003,LOC_Os05g37550,1.353226486,0.371663728
26004,LOC_Os05g37560,9.310377929,1.013274585
26005,LOC_Os05g37570,0.213500392,0.084039921
26006,LOC_Os05g37580,0.107055636,0.044169447
26007,LOC_Os05g37590,0.046029901,0.019544099
26008,LOC_Os05g37600,10.65948834,1.066679492
26009,LOC_Os05g37610,0,0
26010,LOC_Os05g37620,0.016047471,0.006913999
26011,LOC_Os05g37630,0,0
26012,LOC_Os05g37640,8.606208186,0.982551994
26013,LOC_Os05g37650,18.3505308,1.286692883
26014,LOC_Os05g37660,91.23284989,1.964885628
26015,LOC_Os05g37670,12.85246276,1.141526991
26016,LOC_Os05g37680,0.081431503,0.033999017
26017,LOC_Os05g37690,241.4709105,2.384659643
26018,LOC_Os05g37700,60.0634199,1.785781124
26019,LOC_Os05g37710,1.294776572,0.360740407
26020,LOC_Os05g37720,6.185662049,0.856466788
26021,LOC_Os05g37730,95.8328989,1.986022934
26022,LOC_Os05g37740,0,0
26023,LOC_Os05g37750,0,0
26024,LOC_Os05g37760,0,0
26025,LOC_Os05g37770,0,0
